References	Qty	Digikey	Farnell	MPN	Manufacturer	Mouser	RS
C1, C2	2	478-2388-1-ND	1462424	TPSA106K006R1500	AVX	581-TPSA106K006R1500	136-6077
C3, C4	2	445-5587-1-ND	2210766	CGA2B2C0G1H180J050BA	TDK	810-CGA2B2C0G1H180J	915-5538
C5, C8, C9	3	445-12539-1-ND	2528789	CGA3E1X7R1C105K080AC	TDK	810-CGA3E1X7R1C105AC	915-5660
C6, C7, C10	3	732-7939-1-ND	2495168	885012206020	Wurth	710-885012206020	839-2720
D1, D2	2	1727-8532-1-ND	2114879	PESD5V0U1BBYL	Nexperia	771-PESD5V0U1BBT/R	725-8723
D3, D4	2	D5V0L2B3W-7DICT-ND	3127275	D5V0L2B3W	Diodes	621-D5V0L2B3W-7	770-4780
D5, D6	2	NSR0520V2T1GOSCT-ND	2463404	NSR0520V2T1G	ON Semi	863-NSVR0520V2T1G	793-1033
F1	1	MF-PSMF050X-2CT-ND	2367280	MF-PSMF050X-2	Bourns	652-MF-PSMF050X-2	691-7507
J1	1	A97800CT-ND	2751670	1981568-1	TE	571-1981568-1	669-4645
J2	1	WM1732-ND	9732853	53047-0310	Molex	538-53047-0310	319-1064
J3	1	WM1732-ND	9732853	53047-0310	Molex	538-53047-0310	319-1064
J4	1	WM1731-ND	9733051	53047-0210	Molex	538-53047-0210	279-9213
J5	1	WM1731-ND	9733051	53047-0210	Molex	538-53047-0210	279-9213
JOY1, JOY2	2			RKJXU1210006	ALPS Alpine	688-RKJXU1210006	
P1	1	WM6768CT-ND	2679575	52746-0471	Molex	538-52746-0471	702-5438
P2	1	WM6768CT-ND	2679575	52746-0471	Molex	538-52746-0471	702-5438
P3	1	SAM11546-ND	3551038	MTLW-103-07-G-S-230	Samtec	200-MTLW10307GS230	208-8940
P4	1	2073-BC070-10-A-1-L-CCT-ND		BC070-10-A-1-L-C	GCT	640-BC070-10-A-1-L-C	
Q1, Q2	2	DMN601WKQ-7DICT-ND		DMN601WK	Diodes	621-DMN601WK-7	751-4206
R1, R2	2	541-3973-1-ND	1469697	CRCW040222R0FKED	Vishay	71-CRCW040222R0FKEDC	678-8983
R3, R5, R7, R11, R13	5	311-10.0KHRCT-ND	9238603	RC0603FR-0710KL	Yageo	RC0603FR-0710KL	199-5443
R4	1	A106049CT-ND	3399571	CRG0603F1K0	TE	279-CRG0603F1K0	213-2266
R6, R8, R9	3	A129692CT-ND	2861465	CRGCQ0603F2K2	TE	279-CRGCQ0603F2K2	213-2317
R10, R12	2	311-0.0GRCT-ND	9233130	RC0603JR-070RL	Yageo	603-RC0603JR-070RL	199-5647
SW1	1			RKJXS1004001	ALPS Alpine	688-RKJXS	
SW2	1	EG5162-ND	2830788	TL6215RF200BDT	E-Switch	612-TL6215RF200BDT	
SW3	1	EG5162-ND	2830788	TL6215RF200BDT	E-Switch	612-TL6215RF200BDT	
SW4	1	EG5162-ND	2830788	TL6215RF200BDT	E-Switch	612-TL6215RF200BDT	
SW5	1	EG5162-ND	2830788	TL6215RF200BDT	E-Switch	612-TL6215RF200BDT	
SW6	1	EG5128CT-ND		TL6210AF200GQ	E-Switch	612-TL6210AF200GQ	
SW7	1	EG5128CT-ND		TL6210AF200GQ	E-Switch	612-TL6210AF200GQ	
SW8	1	EG5128CT-ND		TL6210AF200GQ	E-Switch	612-TL6210AF200GQ	
SW9	1	EG5518CT-ND		TL3265GQSCLR	E-Switch	612-TL3265GQSCLR	
SW10	1	EG5128CT-ND		TL6210AF200GQ	E-Switch	612-TL6210AF200GQ	
SW11	1	EG6016-ND	2830698	TL1220R1BBBB-HALO	E-Switch	612-1220R1BBBRHALO	
SW12	1	EG6016-ND	2830698	TL1220R1BBBB-HALO	E-Switch	612-1220R1BBBRHALO	
SW13	1	EG6016-ND	2830698	TL1220R1BBBB-HALO	E-Switch	612-1220R1BBBRHALO	
SW14	1	EG6016-ND	2830698	TL1220R1BBBB-HALO	E-Switch	612-1220R1BBBRHALO	
U1	1	576-1281-1-ND	2510252	MIC5219-3.3YM5	Micrel	998-MIC5219-3.3YM5TR	910-1685
U2	1	ATMEGA32U4-AU-ND	1748525	ATmega32U4-AU	Atmel	556-ATMEGA32U4-AU	131-0289
U3	1	296-24536-1-ND	3009444	TCA6416APWR	TI	595-TCA6416APWR	
X1	1	490-9650-1-ND	2909954	XRCHA16M000F0A01R0	Murata	81-XRCHA16M000F0A1R0	144-6641
